store_id,total_revenue,avg_transaction,transaction_count,unique_customers,avg_customer_loyalty,total_units,revenue_per_transaction,revenue_per_customer,revenue_rank
270,13135.26,1.8831913978494623,6975,1678,11.581075268817205,8095,1.8831913978494623,7.82792610250298,1
359,13014.54,1.914184438888072,6799,1605,11.574643329901456,8013,1.914184438888072,8.108747663551402,2
344,12382.789999999999,3.493029619181946,3545,945,10.59605077574048,4275,3.493029619181946,13.10348148148148,3
326,12261.17,1.8906969930609099,6485,1634,10.097918272937548,7748,1.8906969930609099,7.503776009791921,4
71,12113.93,1.7697487216946677,6845,1947,9.676113951789628,8219,1.7697487216946677,6.221843862352337,5
371,11788.0,1.8447574334898278,6390,1815,8.558372456964007,7794,1.8447574334898278,6.494765840220386,6
322,11592.47,2.0266555944055944,5720,1294,11.238811188811189,6847,2.0266555944055944,8.958632148377125,7
375,11033.28,1.8206732673267327,6060,1427,9.5513201320132,7255,1.8206732673267327,7.7318009810791875,8
316,10639.26,2.0028727409638556,5312,1497,9.38328313253012,6248,2.0028727409638556,7.107054108216433,9
308,10626.82,1.8325262976375236,5799,1491,10.338679082600448,6842,1.8325262976375236,7.127310529845741,10
368,9628.63,1.8051424821897262,5334,1544,9.2570303712036,6217,1.8051424821897262,6.23615932642487,11
378,9554.48,1.7898988385162982,5338,1527,9.842637692019483,6282,1.7898988385162982,6.2570268500327435,12
259,9426.03,1.846069330199765,5106,1365,8.566000783392088,6051,1.846069330199765,6.905516483516484,13
307,9395.47,1.7818073203110183,5273,1394,9.414754409254694,6202,1.7818073203110183,6.739935437589669,14
264,9265.82,1.8348158415841584,5050,1134,9.138811881188118,6099,1.8348158415841584,8.170917107583774,15
373,9182.09,2.0920688083845977,4389,797,13.285714285714286,5336,2.0920688083845977,11.52081555834379,16
309,9086.47,1.9536594280799826,4651,1270,10.321006235218233,5476,1.9536594280799826,7.154700787401574,17
196,9081.72,1.7115944214097247,5306,1639,7.692046739540143,6367,1.7115944214097247,5.541012812690664,18
321,8940.54,1.8893786982248522,4732,1310,9.58748943364328,5511,1.8893786982248522,6.8248396946564895,19
277,8882.53,1.7733140347374727,5009,1231,10.491515272509483,5827,1.7733140347374727,7.21570268074736,20
186,8813.65,1.788847168662472,4927,1087,11.011568906028009,5885,1.788847168662472,8.108233670653174,21
380,8564.59,1.804591234723978,4746,1314,9.123261694058154,5686,1.804591234723978,6.517952815829529,22
227,8530.91,1.9166277241069423,4451,1317,8.21972590429117,5221,1.9166277241069423,6.477532270311314,23
17,8467.72,1.7978174097664543,4710,1398,9.808704883227175,5678,1.7978174097664543,6.0570243204577965,24
280,8448.34,1.8141163839381576,4657,1086,9.540476701739317,5487,1.8141163839381576,7.779318600368324,25
