product_code,description,type,brand,total_revenue,avg_transaction,total_units
3620000250,RAGU TRADITIONAL PLAIN,Type 3,Ragu,32278.21,1.8753317452939808,22611
5100002549,PREGO REG SPAGHETTI SAUCE,Type 3,Prego,22301.7,2.183658082835602,12241
3000005970,AUNT JEMIMA ORIGINL SYRUP,Type 4,Aunt Jemima,21914.7,3.2076551522248247,6952
9999967727,PRIVATE LABEL SYRUP PLASTIC BOTTLE,Type 4,Private Label,19147.98,1.7615436982520698,11909
3620000300,RAGU OWS SPAG SAUCE MEAT,Type 3,Ragu,18702.57,1.8154309842748981,13724
9999985020,PRIVATE LABEL THIN SPAGHETTI,Type 2,Private Label,16691.32,0.9268836072856508,22364
9999985004,PRIVATE LABEL SPAGHETTI REGULAR,Type 2,Private Label,16344.210000000001,0.9233495282752388,21971
3000005300,AJ BUTTERMILK PANCAKE MIX,Type 1,Aunt Jemima,15863.66,2.2498454119982982,7287
3620001369,RAGU\CHZ CREATION ALFRDO,Type 3,Ragu,15848.4,2.166561859193438,9664
3620001401,RAGU SPAGH SAUCE PLAIN,Type 3,Ragu,15738.45,3.3063970588235296,5490
9999981816,PRIVATE LABEL MAPLE SYRUP,Type 4,Private Label Premium,15718.400000000001,4.168231238398303,4206
4420979129,MRS BUTTERWORTH SYRUP,Type 4,Mrs Butterworth,15693.04,3.091615445232467,5162
3620000444,RAGU SPAG SCE ITAL GRD CO,Type 3,Ragu,14970.74,1.8183821207336328,10386
9999985068,PRIVATE LABEL ANGEL HAIR Type 2,Type 2,Private Label,14636.28,0.9919539139274822,19528
5100002511,PREGO SPAG SAUCE PLAIN,Type 3,Prego,14001.130000000001,3.171263873159683,5059
9999985051,PRIVATE LABEL SPAGHETTI THIN,Type 2,Private Label,13649.29,1.5435135135135136,9445
3620000440,RAGU\TOMATO GRLC/ONION SC,Type 3,Ragu,12530.9,1.7569966348850252,8826
9999985005,PRIVATE LABEL SPAGHETTI REGULAR,Type 2,Private Label,12368.6,1.4063217737350768,9402
2700042238,HUNT TRADITIONAL SAUCE,Type 3,Hunt's,12061.01,1.353496801705757,11940
4300000037,LOG CABIN SYRUP REG,Type 4,Log Cabin,12045.41,3.4894003476245654,3511
9999985006,PRIVATE LABEL SPAGHETTI REGULAR,Type 2,Private Label,11884.29,1.9662954996690936,6450
3620000468,RAGU\HEARTY ONION/GARLIC,Type 3,Ragu,11859.76,1.7448521406502868,8064
