store_id,revenue_per_transaction,revenue_per_customer,avg_customer_loyalty,total_revenue
270,1.8831913978494623,7.82792610250298,11.581075268817205,13135.26
359,1.914184438888072,8.108747663551402,11.574643329901456,13014.54
344,3.493029619181946,13.10348148148148,10.59605077574048,12382.789999999999
326,1.8906969930609099,7.503776009791921,10.097918272937548,12261.17
71,1.7697487216946677,6.221843862352337,9.676113951789628,12113.93
371,1.8447574334898278,6.494765840220386,8.558372456964007,11788.0
322,2.0266555944055944,8.958632148377125,11.238811188811189,11592.47
375,1.8206732673267327,7.7318009810791875,9.5513201320132,11033.28
316,2.0028727409638556,7.107054108216433,9.38328313253012,10639.26
308,1.8325262976375236,7.127310529845741,10.338679082600448,10626.82
368,1.8051424821897262,6.23615932642487,9.2570303712036,9628.63
378,1.7898988385162982,6.2570268500327435,9.842637692019483,9554.48
259,1.846069330199765,6.905516483516484,8.566000783392088,9426.03
307,1.7818073203110183,6.739935437589669,9.414754409254694,9395.47
264,1.8348158415841584,8.170917107583774,9.138811881188118,9265.82
373,2.0920688083845977,11.52081555834379,13.285714285714286,9182.09
309,1.9536594280799826,7.154700787401574,10.321006235218233,9086.47
196,1.7115944214097247,5.541012812690664,7.692046739540143,9081.72
321,1.8893786982248522,6.8248396946564895,9.58748943364328,8940.54
277,1.7733140347374727,7.21570268074736,10.491515272509483,8882.53
186,1.788847168662472,8.108233670653174,11.011568906028009,8813.65
380,1.804591234723978,6.517952815829529,9.123261694058154,8564.59
227,1.9166277241069423,6.477532270311314,8.21972590429117,8530.91
17,1.7978174097664543,6.0570243204577965,9.808704883227175,8467.72
280,1.8141163839381576,7.779318600368324,9.540476701739317,8448.34
357,1.812909051348999,8.752237394957982,10.687119234116624,8332.13
162,1.714055520768107,5.7831267605633805,9.661657274055521,8212.04
54,1.8924794937895477,8.50917808219178,13.097023670025779,8075.21
184,1.9055697701966359,8.326511387163562,11.285240464344941,8043.41
324,1.7216149337963969,6.453604556550041,10.9194703711743,7931.4800000000005
276,1.798364592863678,7.7615498519249755,11.46683440073193,7862.45
341,1.884180465562755,5.798655834564254,8.250779937604992,7851.38
103,1.7267657419638927,6.897950747581355,9.809335094671951,7842.97
35,1.8372562837679116,5.8629685157421285,9.375851538642236,7821.2
126,1.7788455395847593,6.158515007898894,8.622404745608032,7796.68
235,1.895848964677223,7.369753787878788,9.764433617539586,7782.46
16,1.6738458207016023,5.2441112618724555,7.768731052403638,7729.82
241,1.8274688995215311,6.568202923473774,9.474401913875598,7638.82
33,1.8021909978566324,6.451321398124467,8.458680638247202,7567.4
5,1.7421319796954313,6.48659793814433,9.614674665436088,7550.4
285,1.9260260078023406,6.434031277150304,9.206241872561769,7405.57
255,1.8053186813186812,5.918959167333867,8.764102564102565,7392.78
271,1.8139995071463775,6.866800373134328,10.442336126170527,7361.21
23,1.7521669457067688,6.1665067340067345,9.158574503707246,7325.81
311,1.9595762939125771,7.178055009823183,10.178063824081523,7307.26
92,1.7798414634146342,5.83788,8.466341463414635,7297.35
172,1.7037394761459306,5.080327754532775,7.377455565949486,7285.19
240,1.877058367768595,5.828364073777065,7.77918388429752,7267.97
