week,feature_level_0
1,2.000634858044164
2,1.8637464343808199
3,1.7892686025742537
4,1.7640140423141735
5,1.8724026566850778
6,1.7760997828955771
7,1.7634275739597207
8,1.8069835976172497
9,1.7964979568427843
10,1.8364562166249232
11,1.8385382631126397
12,1.6123673489106103
13,1.6944351472830885
14,1.776008227646711
15,1.7657933076316854
16,1.7904036829011825
17,1.8255520107133012
18,1.8450152783313405
22,1.9039648103860607
23,1.9152499520756567
24,1.8560755079112443
25,1.8272295759040997
26,1.7903977852526551
27,1.569923524476294
28,1.6200100186059825
